OTUID	Kingdom	Phylum	Class	Order	Family	Genus	A1_b	A2_b	A3_b	A4_b	A5_b	A6_b	B1_b	B2_b	B3_b	B4_b	B5_b	B6_b	C1_b	C2_b	C3_b	C4_b	C5_b	C6_b	D1_b	D2_b	D3_b	D4_b	D5_b	D6_b	E1_b	E2_b	E3_b	E4_b	E5_b	E6_b
5c9dbe36d5c807b2f6b4c78cf1d05c9d	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	176	66	314	306	368
3c07d2b8481cf8bb9dcf0c0f276c052a	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Thermobifida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	434	250	154	316	294	290
9835b27b9a8357a476c7745482e82d60	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	220	90	320	312	294
bc36214890a26655bb0101cf1456eef4	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	160	136	120	166	222	176	58	28	210	106	124	116	0	0	0	0	0	0
8afaa0a890bbbfaeac628f1d2816001e	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	454	182	156	394	180	248
7950b986622a877a28770aef4b4c4dd2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	36	10	0	22	44	32	0	0	0	0	0	0	302	200	194	276	212	290
8182625a8ffbd4392229722be8819c9b	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	0	0	0	2	0	2	0	0	0	0	2	2	32	64	0	464	190	734	0	4	2	10	0	104	0	0	0	2	0	0
def6831651d1755be223baa92d3e23cf	Bacteria	Actinobacteria	Actinobacteria	Glycomycetales	Glycomycetaceae	Glycomyces	0	0	0	0	0	0	0	0	0	0	0	0	20	22	16	26	72	40	0	4	8	0	8	8	388	162	64	244	186	314
59b3a8926b740935f1619e733dfcc177	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	486	270	50	346	204	162
354b4fa06194d962f7d2fb2056282706	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	264	218	302	284	164	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
