OTUID	Kingdom	Phylum	Class	Order	Family	Genus	species
25bdeae4cbd6e909a10b5925770a4590	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unidentified_Acetobacteraceae	Unidentified_Acetobacteraceae
d1f8f47c77a4d87660b941316b819e4b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	Unidentified_Magnetospirillum
92f51bd21e65afc4e780e871d071a02a	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unidentified_Paenibacillus
7486ac52732ea6351b269ffc40a9966d	Bacteria	Chloroflexi	TK10	Unidentified	Unidentified	Unidentified	Unidentified
b34081d155fb14a8baebb834029c8ee5	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unidentified_Lachnospiraceae	Unidentified_Lachnospiraceae
c23d9c4626abe211214430dea60e8505	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pectobacterium	Unidentified_Pectobacterium
27d4c5fe168f89c00d884d900be36a8b	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Unidentified_Nonomuraea
7121ff350275fe76101f75519ab31226	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	uncultured_bacterium
655b8885d9fe27468b32d96228ef1383	Bacteria	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae	Unidentified_Balneolaceae	Unidentified_Balneolaceae
5ce092433a795bec9de3caacc3ffd305	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Unidentified_Mycobacterium
5295a2780284e189aa19c5c6c7d8127f	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
c1bc3e6b0324007ac542b6c7fdd37803	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group	Unidentified_Christensenellaceae_R-7_group
65a3eb1aec122d653bb7e2934be49de3	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
0c4c19d74fbe28b5a0168e0f0b10213e	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	Planctomicrobium	Unidentified_Planctomicrobium
cc6ad9209015fa4225dbdd2b3584362b	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Unidentified_Burkholderia-Caballeronia-Paraburkholderia
cba80ab02641023cf907ce577c3619c4	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	Unidentified_Mitochondria
