OTUID	A1_b	A2_b	A3_b	A4_b	A5_b	A6_b	B1_b	B2_b	B3_b	B4_b	B5_b	B6_b	C1_b	C2_b	C3_b	C4_b	C5_b	C6_b	D1_b	D2_b	D3_b	D4_b	D5_b	D6_b	E1_b	E2_b	E3_b	E4_b	E5_b	E6_b
ASV41	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	806	832	282	586	934	556
ASV42	10	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	12	0	0	0	0	0	850	440	98	984	812	786
ASV43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	606	1224	1180	206	0	0	0	0	0	0
ASV44	0	0	0	0	0	0	0	0	0	0	0	0	0	30	30	18	74	56	228	478	880	776	846	438	0	0	0	0	0	0
ASV45	322	396	470	422	246	340	0	0	0	0	0	0	0	20	0	0	44	84	74	302	216	350	308	150	0	0	0	0	0	38
ASV46	0	0	0	0	0	0	0	0	0	0	14	0	0	36	38	44	38	24	0	0	0	20	12	8	552	624	188	858	864	380
ASV47	430	264	268	340	164	330	20	14	4	98	38	0	6	0	0	0	20	24	0	6	10	10	12	8	446	242	60	324	338	170
ASV48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	904	622	290	650	630	478
ASV49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	484	238	704	386	1324
ASV50	0	0	0	0	0	6	146	366	302	944	872	308	0	0	0	0	128	170	52	86	0	0	0	0	0	12	0	10	16	6
ASV51	636	368	560	626	474	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV52	320	310	338	336	284	298	0	0	0	0	0	0	26	46	18	42	50	52	46	110	194	234	218	68	0	0	0	0	0	0
ASV53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772	318	200	578	516	536
ASV54	0	0	0	0	0	0	0	0	0	0	4	0	438	368	226	410	624	444	0	72	72	58	56	112	0	0	0	26	0	0
ASV55	0	8	0	0	0	0	0	6	0	0	0	0	384	380	254	412	618	546	0	0	52	60	48	70	0	0	0	22	0	0
ASV56	0	0	0	0	0	0	0	0	0	0	0	0	174	168	90	246	318	350	0	0	38	30	18	52	408	150	100	214	212	222
ASV57	0	0	0	0	0	0	148	328	232	538	682	290	18	16	0	0	96	92	66	62	0	0	0	0	62	20	0	52	32	46
ASV58	460	332	512	484	312	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV59	0	0	0	0	0	0	20	0	48	60	54	24	0	0	0	0	0	0	154	404	612	334	498	336	38	0	0	0	0	34
ASV60	0	0	0	0	0	2	6	0	0	0	0	0	342	292	230	452	476	298	0	0	96	44	44	96	32	0	0	24	130	48
ASV61	248	322	342	282	206	230	0	0	0	0	0	0	22	26	26	54	40	34	62	140	148	172	152	90	0	0	0	0	0	0
ASV62	0	0	0	0	0	0	0	0	0	0	0	0	298	346	190	464	556	548	0	0	48	50	0	56	0	0	0	0	0	0
ASV63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710	386	758	602	0	6	0	0	0	0	0
ASV64	0	6	0	0	0	0	74	484	262	520	388	186	0	0	0	0	70	84	32	58	0	10	0	0	100	24	12	38	44	18
ASV65	0	0	0	0	0	0	0	0	0	0	4	0	260	254	64	360	574	626	0	0	82	42	30	100	0	0	0	2	0	0
ASV66	0	0	14	0	0	0	0	0	0	0	0	0	334	300	404	284	454	348	0	0	40	40	128	48	0	0	0	0	0	0
ASV67	6	2	0	0	6	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	794	286	50	432	246	362
ASV68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	288	118	444	400	404
ASV69	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	534	312	168	414	364	316
ASV70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	472	224	218	322	406	464
ASV71	430	588	460	308	0	220	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	20
ASV72	0	0	0	0	0	0	0	10	0	26	24	14	0	0	0	0	0	0	38	64	52	60	134	456	318	248	72	204	150	190
ASV73	0	0	0	0	0	0	0	0	0	0	0	0	340	178	130	300	478	394	0	0	90	18	40	92	0	0	0	0	0	0
ASV74	0	0	0	0	0	0	58	166	186	326	256	166	0	34	0	0	84	110	52	98	74	72	126	40	52	28	24	36	30	16
ASV75	0	0	4	0	0	6	8	0	0	0	16	14	46	18	30	0	62	42	102	102	108	92	128	558	168	92	92	138	96	88
ASV76	0	0	0	0	0	0	0	0	0	0	0	0	104	86	122	52	102	110	0	0	22	0	42	12	202	186	130	340	306	182
ASV77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	40	26	34	0	48	504	142	48	158	320	552
ASV78	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	502	222	62	314	366	366
ASV79	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	442	182	122	294	310	472
ASV80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	124	80	466	498	370
ASV81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	176	66	314	306	368
ASV82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	434	250	154	316	294	290
ASV83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	220	90	320	312	294
ASV84	0	0	0	0	0	0	0	0	0	0	0	0	160	136	120	166	222	176	58	28	210	106	124	116	0	0	0	0	0	0
ASV85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	454	182	156	394	180	248
ASV86	0	0	0	0	0	0	0	0	0	0	0	0	36	10	0	22	44	32	0	0	0	0	0	0	302	200	194	276	212	290
ASV87	0	0	0	2	0	2	0	0	0	0	2	2	32	64	0	464	190	734	0	4	2	10	0	104	0	0	0	2	0	0
ASV88	0	0	0	0	0	0	0	0	0	0	0	0	20	22	16	26	72	40	0	4	8	0	8	8	388	162	64	244	186	314
ASV89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	486	270	50	346	204	162
ASV90	264	218	302	284	164	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV91	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	150	64	240	110	444
ASV92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	388	98	194	196	164
ASV93	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	438	158	50	336	260	156
ASV94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	152	74	266	290	212
ASV95	0	0	0	0	0	0	0	0	0	0	0	0	74	60	60	130	206	146	0	0	0	0	40	0	206	54	32	122	140	122
ASV96	0	0	0	0	0	0	0	0	0	0	0	0	126	142	68	182	254	168	0	0	38	12	16	50	40	46	0	102	70	32
ASV97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	142	70	328	188	188
ASV98	186	88	156	200	212	156	10	0	0	0	0	0	0	0	0	10	0	0	0	6	0	0	0	48	48	0	12	36	94	36
ASV99	0	0	0	0	0	0	56	114	110	304	418	92	0	0	0	0	42	52	38	54	0	0	0	0	0	0	0	0	0	0
ASV100	0	0	0	0	0	0	0	0	0	0	0	0	76	118	24	332	276	350	0	0	0	32	0	68	0	0	0	0	0	0
ASV101	0	0	0	0	0	0	0	0	0	0	0	0	110	182	120	164	226	144	22	0	36	62	40	54	34	0	0	0	26	40
ASV102	0	0	2	0	0	0	0	0	0	0	0	0	196	152	96	196	234	224	0	0	0	36	56	32	0	0	0	0	10	22
ASV103	0	0	0	0	0	0	0	6	0	0	0	0	166	120	118	196	274	190	0	0	40	22	24	56	44	0	0	0	0	0
ASV104	0	0	0	0	0	0	0	0	0	0	0	0	166	172	96	222	342	128	0	0	28	16	28	52	0	0	0	0	0	0
ASV105	186	0	248	286	172	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV106	202	152	238	254	184	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
ASV107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	144	34	278	182	200
ASV108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	126	122	260	236	202
ASV109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	412	118	90	228	142	214
ASV110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	224	168	58	266	322	138
ASV111	0	0	0	0	0	0	0	0	0	0	0	0	144	142	60	164	232	244	0	0	32	20	12	32	30	6	0	20	0	16
ASV112	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	538	24	262	52	166
ASV113	0	0	0	0	0	0	0	0	14	14	0	0	0	56	0	58	92	0	0	0	12	18	32	24	176	110	62	194	150	112
ASV114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	372	138	34	158	208	186
ASV115	0	0	0	0	0	0	8	16	20	20	22	32	12	10	12	12	26	14	0	0	0	0	0	12	228	136	24	216	154	110
ASV116	0	0	0	0	0	0	0	16	0	18	12	0	78	46	30	66	94	78	26	20	94	50	80	36	84	12	12	68	70	72
ASV117	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	258	122	0	178	320	156
ASV118	0	0	0	0	0	0	0	0	0	0	0	0	72	110	74	104	176	116	0	0	20	0	18	34	62	42	18	64	84	50
ASV119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	164	64	276	132	140
ASV120	0	0	0	0	0	0	0	0	0	28	0	0	26	30	10	24	60	40	0	0	6	10	0	8	202	96	52	138	194	112
ASV121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	224	48	178	198	184
ASV122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	150	128	210	136	214
ASV123	0	0	0	0	0	0	14	44	44	132	116	38	74	66	44	90	104	142	0	18	22	0	10	18	0	0	0	0	0	6
ASV124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	318	138	50	172	136	160
ASV125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	104	38	192	246	108
ASV126	0	0	0	0	0	0	0	0	0	0	0	0	44	84	16	266	170	260	0	0	16	40	0	76	0	0	0	0	0	0
ASV127	0	0	0	0	0	0	0	0	0	0	0	0	82	112	58	82	160	118	0	0	26	32	14	34	130	30	4	20	46	14
ASV128	0	0	0	0	0	0	30	102	54	252	174	72	0	0	0	0	46	36	0	30	0	0	0	0	68	0	18	48	18	0
ASV129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	108	76	236	162	104
ASV130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	82	56	322	160	100
ASV131	860	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV132	0	0	0	0	0	0	0	0	0	0	0	0	58	70	48	26	54	54	0	0	0	0	0	0	58	38	38	78	124	290
ASV133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	192	72	148	108	156
ASV134	0	0	0	0	0	0	0	10	0	0	0	0	114	140	92	120	166	134	0	0	26	32	30	56	0	0	0	0	0	0
ASV135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	250	80	70	140	204	162
ASV136	4	0	0	0	0	0	0	0	0	0	0	0	98	110	68	126	246	142	0	0	24	16	24	10	6	0	4	16	10	10
ASV137	0	0	0	0	0	0	0	0	0	0	0	0	98	94	132	108	156	218	0	0	24	34	14	34	0	0	0	0	0	0
ASV138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	298	90	68	112	200	104
ASV139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	24	0	0	0	0	0	0	192	136	64	182	194	62
ASV140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	170	62	154	182	108
ASV141	0	0	0	0	0	0	0	0	0	0	0	0	114	104	40	146	210	154	0	0	20	24	0	38	0	0	0	0	0	0
ASV142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	204	102	24	172	124	210
ASV143	22	16	0	0	14	0	0	12	6	18	28	20	38	42	20	46	58	48	0	40	22	104	22	28	76	28	0	0	28	104
ASV144	0	0	2	0	0	0	0	0	0	0	0	0	90	100	0	152	256	236	0	0	0	0	0	0	0	0	0	0	0	0
ASV145	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	306	212	0	0	0	0	0	0	0	0	0	0	0	0
ASV146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	106	28	136	144	106
ASV147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	116	36	174	182	154
ASV148	0	0	0	0	0	0	0	0	0	0	0	0	74	118	64	128	120	204	0	0	34	0	18	60	0	0	0	0	0	0
ASV149	0	0	0	0	0	0	0	0	0	0	0	0	70	86	40	134	140	224	0	0	50	0	32	34	0	0	0	0	0	0
ASV150	0	0	0	26	0	22	0	0	0	8	14	6	26	32	0	28	12	20	16	42	10	88	40	26	116	24	0	32	150	38
ASV151	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	76	42	272	108	120
ASV152	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	188	120	18	186	156	90
ASV153	0	0	0	0	0	0	0	0	0	0	0	0	182	64	50	92	142	170	0	0	48	14	0	0	0	0	0	0	0	0
ASV154	0	0	0	0	0	0	0	0	0	0	0	0	102	80	86	74	196	164	0	0	20	0	22	0	16	0	0	0	0	0
ASV155	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	138	142	0	216	144	98
ASV156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	106	48	162	204	74
ASV157	112	120	136	124	134	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730	0	0	0	0	0	0	0	0	0	0
ASV159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	106	52	38	366	84	70
ASV160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	200	90	10	144	134	130
ASV161	0	0	0	0	0	0	0	0	0	0	0	0	104	92	0	112	164	176	0	0	36	0	0	34	0	0	0	0	0	0
ASV162	0	0	0	0	0	0	0	0	0	0	0	0	86	132	64	124	138	112	0	0	0	22	12	26	0	0	0	0	0	0
ASV163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	184	120	46	88	130	144
ASV164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	20	12	24	0	0	0	0	6	4	102	132	14	158	124	102
ASV165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	80	170	52	146	154	92
ASV166	0	0	0	0	0	0	0	0	0	0	0	0	18	12	0	16	36	22	0	0	0	0	0	0	118	112	0	176	122	66
ASV167	0	0	0	0	0	0	0	0	0	0	74	0	126	148	62	84	94	108	0	0	0	0	0	0	0	0	0	0	0	0
ASV168	32	12	0	20	16	26	0	18	24	64	66	22	56	52	20	70	58	64	0	18	0	10	26	20	0	0	0	0	0	0
ASV169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	94	66	110	124	92
ASV170	0	0	0	0	0	0	0	0	0	0	0	0	32	70	20	88	82	36	0	0	4	16	0	22	186	0	8	0	54	44
ASV171	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	156	98	298	0	0	0	12	0	46	0	0	0	0	0	0
ASV172	0	0	0	0	0	0	0	0	0	0	0	0	50	74	40	58	102	82	0	0	0	12	6	20	72	38	10	36	30	20
ASV173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	102	40	142	148	78
ASV174	0	0	0	0	2	0	0	0	0	0	0	0	18	0	6	24	12	36	0	0	14	0	0	0	218	24	32	104	68	70
ASV175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	160	0	100	104	0
ASV176	124	108	102	114	52	120	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	56	16	100	148	0
ASV178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	64	64	122	96	54
ASV179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	66	88	88	58	106
ASV180	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	180	46	50	70	122	146
ASV181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	246	0	0	100	118
ASV182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	26	62	90	122	48	58	32	0	36	58	46
ASV183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	166	92	26	148	94	52
ASV184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	70	74	80	130	80
ASV185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	110	20	84	144	150
ASV186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	44	52	142	114	70
ASV187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	68	26	162	154	48
ASV188	0	0	0	0	0	0	0	0	0	0	0	0	142	38	30	46	168	112	0	0	20	0	14	12	0	0	0	0	0	0
ASV189	0	0	0	0	0	0	24	24	30	274	90	24	0	0	0	0	30	68	4	0	0	0	0	0	0	0	0	0	0	0
ASV190	84	128	148	66	48	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
ASV191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	166	0	0	186	110	94
ASV192	0	0	0	0	0	0	0	120	0	156	174	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV193	0	0	0	0	0	0	0	0	0	0	0	0	114	88	0	90	180	88	0	0	0	0	0	0	0	0	0	0	0	0
ASV194	0	0	0	0	0	0	0	0	0	0	0	0	134	74	0	72	100	126	0	0	0	0	16	24	0	0	0	0	0	0
ASV195	0	0	0	0	0	0	0	0	0	0	0	0	78	76	46	68	148	100	0	0	0	0	0	0	26	0	0	0	0	0
ASV196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	54	112	82	176	0	0	0	0	0	0
ASV197	0	0	0	0	0	0	0	0	0	0	0	0	66	74	0	70	134	80	0	0	0	0	0	32	0	8	14	0	0	50
ASV198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	116	58	86	68	98
ASV199	114	0	66	134	102	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	94	24	60	100	102
ASV201	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	22	24	24	0	0	0	0	0	12	114	132	18	92	44	0
ASV202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	56	84	88	110	0
ASV203	0	0	0	0	0	0	0	0	0	0	0	0	58	58	54	50	92	84	0	0	0	16	20	0	0	34	0	20	18	0
ASV204	64	104	134	74	60	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV205	0	0	0	0	0	0	0	0	0	0	0	0	44	52	0	0	0	0	0	0	0	0	0	0	0	70	48	0	122	156
