OTUID	A1_f	A2_f	A3_f	A4_f	A5_f	A6_f	B1_f	B2_f	B3_f	B4_f	B5_f	B6_f	C1_f	C2_f	C3_f	C4_f	C5_f	C6_f	D1_f	D2_f	D3_f	D4_f	D5_f	D6_f	E1_f	E2_f	E3_f	E4_f	E5_f	E6_f
ASV13	155	234	286	342	230	310	13884	10408	1282	9372	9554	8364	87076	86490	73520	58908	47090	25998	92	170	170	230	296	100	388	532	580	510	364	752
ASV17	14402	24340	26042	80938	21124	23520	166	320	36	354	600	226	708	580	504	326	326	454	142	46	68	102	252	70	312	248	348	436	398	1010
ASV8	15037	11944	35126	278	28848	31974	150	180	46	142	208	160	142	96	98	94	68	76	64	26	54	130	164	36	94	44	26	138	64	188
ASV14	0	64	68	94	56	52	694	354	66	450	438	382	6420	6144	5420	26452	23236	11710	26	0	28	48	98	38	114	212	370	174	172	396
ASV31	0	0	0	0	62	60	90	0	0	0	0	0	138	74	0	72	0	82	6086	0	16836	0	24568	10798	0	22	0	74	32	150
ASV6	69	90	124	116	118	120	232	184	36	0	84	72	136	106	76	88	110	64	94	34	58	108	58	30	12014	3942	3984	9478	5902	6526
ASV4	52	96	78	92	56	88	8490	7008	1368	1890	6224	14264	76	52	38	38	44	34	142	652	900	210	720	302	54	14	40	52	30	48
ASV5	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10848	3670	3784	8062	5580	6194
ASV2	50	76	60	86	70	74	88	190	26	18	0	42	90	90	80	66	74	0	62	0	0	68	52	36	7644	2986	4702	5634	3728	4852
ASV1	0	0	58	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	24	0	0	0	0	7210	2850	4852	5590	3536	5220
ASV29	25	80	208	106	0	0	0	0	0	0	38	40	0	0	0	0	0	0	0	14408	0	11924	0	0	266	0	30	0	0	0
ASV3	0	42	38	40	30	0	5846	2272	974	680	2330	3734	292	310	184	146	178	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7	0	0	42	50	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4302	1588	1406	3918	2378	2712
ASV41	19	18	34	36	26	28	32	12	0	0	14	0	3378	2702	3106	2712	1908	1528	0	0	14	14	6	0	0	10	8	22	18	10
ASV9	37	0	54	44	50	64	1200	1526	272	378	1094	266	248	286	278	82	160	158	680	1486	1650	1040	2198	1018	288	144	118	202	156	354
ASV10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	36	0	4010	1480	1372	3398	2328	2564
ASV46	6	28	26	14	32	36	242	368	46	60	326	212	3642	2940	2090	1064	1050	728	18	54	0	52	0	0	90	10	10	36	16	20
ASV25	14	22	26	0	8	32	106	0	22	10	64	18	28	0	0	0	0	22	0	0	18	0	18	0	2492	1234	672	2528	1646	1694
ASV28	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	24	20	0	0	0	0	26	0	0	2360	1162	740	2452	1422	1520
ASV11	0	0	0	0	0	0	842	756	98	276	0	484	174	122	152	102	0	112	880	706	2142	0	0	720	34	78	0	0	0	0
ASV12	0	44	0	0	0	0	1860	1994	400	370	980	1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV18	510	874	776	1680	456	586	330	110	62	58	858	200	0	22	16	18	10	16	0	4	0	12	6	0	0	0	34	12	4	0
ASV48	0	0	0	0	0	0	0	0	0	0	0	0	2106	1672	938	588	604	460	0	0	0	0	0	0	0	0	36	78	100	46
ASV15	0	6	0	0	8	8	0	0	0	0	0	0	0	18	14	18	14	0	534	2328	1432	0	1668	356	0	0	2	10	0	0
ASV16	0	0	0	0	0	0	1580	2454	0	244	0	1160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0
ASV51	403	642	712	2214	600	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV20	1138	844	826	1130	614	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV19	0	0	8	0	0	6	176	458	20	0	1166	1440	54	60	36	22	36	28	0	0	0	0	0	0	116	0	326	686	100	236
ASV22	0	0	0	0	0	0	0	8	0	0	10	14	362	372	164	334	562	398	480	808	0	0	660	674	14	0	0	46	0	0
ASV21	0	0	0	0	0	0	288	1770	186	192	0	2406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV27	627	634	1510	0	910	1120	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV23	216	480	70	140	86	60	1040	1630	16	224	422	190	30	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0
ASV24	0	0	22	0	0	0	516	368	114	320	384	370	16	0	0	10	0	0	120	306	240	150	1070	144	194	66	46	28	34	136
ASV26	10	0	0	0	0	0	0	0	1158	0	1226	0	474	400	218	236	322	184	0	0	0	0	0	0	0	0	0	0	0	0
ASV69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4162	0	0	0	0	0	0	0
ASV33	163	0	716	0	1222	1940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV65	0	0	0	0	0	8	316	654	42	418	510	1680	0	0	0	8	0	0	44	100	0	0	210	30	0	0	0	8	0	0
