OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
ASV587	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Unidentified_Eurotiales	Unidentified_Eurotiales	Unidentified_Eurotiales
ASV588	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_stepposum
ASV589	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Unidentified_Aspergillaceae	Unidentified_Aspergillaceae
ASV590	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Unidentified_Botryosphaeriaceae	Unidentified_Botryosphaeriaceae
ASV591	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
ASV592	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV593	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unidentified_Nectriaceae	Unidentified_Nectriaceae
ASV594	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	Unidentified_Cercospora
ASV595	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV596	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	unidentified	unidentified
ASV597	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV598	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unidentified_Nectriaceae	Unidentified_Nectriaceae
ASV599	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified_Fusarium
ASV600	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV601	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_longissima
ASV602	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Unidentified_Candida
ASV603	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	Unidentified_Eremothecium
ASV604	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV605	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Unidentified_Botryosphaeriaceae	Unidentified_Botryosphaeriaceae
ASV606	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
