OTUID	Kingdom	Phylum	Class	Order	Family	Genus	species
ASV2006	Bacteria	Dependentiae	Babeliae	Babeliales	Unidentified_Babeliales	Unidentified_Babeliales	Unidentified_Babeliales
ASV2007	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Unidentified_Nitrososphaeraceae	Unidentified_Nitrososphaeraceae
ASV2008	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Parapusillimonas	uncultured_bacterium
ASV1818	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV2009	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured_bacterium
ASV2004	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	uncultured	uncultured
ASV2011	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	Unidentified_Iamia
ASV2012	Bacteria	Chloroflexi	JG30-KF-CM66	uncultured_bacterium	uncultured_bacterium	uncultured_bacterium	uncultured_bacterium
ASV2014	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured	uncultured_bacterium
ASV2013	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	uncultured	uncultured_bacterium
ASV2010	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	Unidentified_BIrii41	Unidentified_BIrii42
ASV2015	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unidentified_Pseudomonas
ASV2016	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niabella	Unidentified_Niabella
ASV2018	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	uncultured	uncultured_bacterium
ASV2017	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured	metagenome
ASV2020	Bacteria	Dependentiae	Babeliae	Babeliales	Unidentified_Babeliales	Unidentified_Babeliales	Unidentified_Babeliales
ASV2019	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	uncultured_bacterium
ASV2021	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinus	Unidentified_Sandaracinus
ASV2022	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	Unidentified_Haliangium
ASV2024	Bacteria	Proteobacteria	Gammaproteobacteria	Unidentified_Gammaproteobacteria	Unidentified_Gammaproteobacteria	Unidentified_Gammaproteobacteria	Unidentified_Gammaproteobacteria
ASV2025	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum	uncultured_compost_bacterium
ASV2026	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unidentified_Brevundimonas
ASV2028	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	Unidentified_Dyadobacter
ASV2027	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	uncultured_organism
ASV2029	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	Unidentified_Parafilimonas
ASV2023	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Prauserella	Unidentified_Prauserella
ASV2032	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4_lineage	Unidentified_Pir4_lineage
ASV2033	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	uncultured_bacterium	uncultured_bacterium
ASV2034	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Schlesneriaceae	Planctopirus	uncultured_bacterium
ASV2035	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	Unidentified_Pirellula
ASV1853	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV2037	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Unidentified_Luteimonas
ASV1887	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV1851	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unidentified_Enterobacteriaceae	Unidentified_Enterobacteriaceae
ASV2040	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	Unidentified_Roseomonas
ASV2041	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Persicitalea	Unidentified_Persicitalea
ASV2039	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	Unidentified	Unidentified
ASV2042	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Bauldia	Unidentified_Bauldia
ASV2043	Bacteria	FBP	uncultured_bacterium	uncultured_bacterium	uncultured_bacterium	uncultured_bacterium	uncultured_bacterium
ASV2045	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	uncultured_bacterium	uncultured_bacterium
ASV2044	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium]_coprostanoligenes_group	uncultured_bacterium
ASV2046	Bacteria	WPS-2	uncultured_bacterium	uncultured_bacterium	uncultured_bacterium	uncultured_bacterium	uncultured_bacterium
ASV2048	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Unidentified_Aneurinibacillus
